Rider,Jersey Number,Team,Category,PCS 2026,PCS 12 Months,Wins 2026,Value,Tier,Price,PCS Rank,PCS Link
🇧🇪 A. DE LIE,151,Lotto Intermarché,Sprinters,393,1803,2,46.4,Great,16,68.0,https://www.procyclingstats.com/rider/arnaud-de-lie
🇦🇺 L. PLAPP,117,Team Jayco AlUla,All-rounders,530,781,0,44.6,Great,13,35.0,https://www.procyclingstats.com/rider/luke-plapp
🇩🇰 M. SKJELMOSE,35,Lidl-Trek,Climbers,623,1138,0,42.7,Great,17,24.0,https://www.procyclingstats.com/rider/mattias-skjelmose-jensen
🇳🇱 T. ARENSMAN,82,Netcompany Ineos,Leaders,601,1132,0,41.6,Good,17,26.0,https://www.procyclingstats.com/rider/thymen-arensman
🇳🇱 A. MOLENAAR,224,Caja Rural-Seguros RGA,All-rounders,193,241,0,40.5,Good,5,,https://www.procyclingstats.com/rider/alex-molenaar
🇺🇸 M. JORGENSON,16,Team Visma | Lease a Bike,Climbers,590,1084,1,40.2,Good,18,27.0,https://www.procyclingstats.com/rider/matteo-jorgenson
🇧🇪 F. VERMEERSCH,6,UAE Team Emirates XRG,All-rounders,366,526,0,39.8,Good,10,77.0,https://www.procyclingstats.com/rider/florian-vermeersch
🇫🇷 K. VAUQUELIN,88,Netcompany Ineos,Leaders,473,865,1,38.6,Good,15,46.0,https://www.procyclingstats.com/rider/kevin-vauquelin
🇮🇹 A. TIBERI,77,Bahrain Victorious,Leaders,487,751,1,37.8,Good,15,43.0,https://www.procyclingstats.com/rider/antonio-tiberi
🇨🇴 E. BERNAL GOMEZ,81,Netcompany Ineos,Leaders,483,919,1,37.4,Good,16,44.0,https://www.procyclingstats.com/rider/egan-bernal
🇨🇿 M. VACEK,37,Lidl-Trek,All-rounders,302,410,3,37.2,Good,10,,https://www.procyclingstats.com/rider/mathias-vacek
🇳🇴 P. HAGENES,15,Team Visma | Lease a Bike,Climbers,336,336,2,37.0,Good,10,90.0,https://www.procyclingstats.com/rider/per-strand-hagenes
🇦🇺 J. HINDLEY,24,Red Bull - BORA - hansgrohe,Climbers,492,942,0,36.4,Good,16,41.0,https://www.procyclingstats.com/rider/jai-hindley
🇫🇷 A. DELETTRE,204,TotalEnergies,All-rounders,253,606,0,36.0,Good,9,,https://www.procyclingstats.com/rider/alexandre-delettre
🇮🇹 D. PIGANZOLI,18,Team Visma | Lease a Bike,Climbers,459,653,3,35.8,Good,16,48.0,https://www.procyclingstats.com/rider/davide-piganzoli
🇩🇰 A. CHARMIG,123,Uno-X Mobility,Climbers,240,366,1,34.8,Good,8,,https://www.procyclingstats.com/rider/anthon-charmig
🇨🇴 H. TEJADA CANACUE,65,XDS Astana Team,Climbers,370,650,1,34.4,Good,13,76.0,https://www.procyclingstats.com/rider/harold-tejada
🇫🇷 A. TURGIS,207,TotalEnergies,All-rounders,312,461,0,34.2,Good,10,,https://www.procyclingstats.com/rider/anthony-turgis
🇩🇰 M. PEDERSEN,33,Lidl-Trek,Sprinters,490,1091,0,33.9,Good,18,42.0,https://www.procyclingstats.com/rider/mads-pedersen
🇮🇹 F. GANNA,84,Netcompany Ineos,All-rounders,454,622,5,33.9,Good,18,50.0,https://www.procyclingstats.com/rider/filippo-ganna
🇳🇴 S. WÆRENSKJOLD,128,Uno-X Mobility,All-rounders,270,756,0,33.4,Good,11,,https://www.procyclingstats.com/rider/soren-waerenskjold
🇦🇺 M. STORER,196,Tudor Pro Cycling Team,Leaders,443,898,0,33.4,Good,16,53.0,https://www.procyclingstats.com/rider/michael-storer
🇨🇦 D. GEE,32,Lidl-Trek,Leaders,496,496,1,32.6,Good,16,40.0,https://www.procyclingstats.com/rider/derek-gee
🇪🇷 B. GIRMAY,131,NSN Cycling Team,Sprinters,417,816,4,31.4,Good,19,61.0,https://www.procyclingstats.com/rider/biniam-girmay
🇪🇸 J. ROMO OLIVER,147,Movistar Team,All-rounders,201,294,0,31.4,Good,7,,https://www.procyclingstats.com/rider/javier-romo
🇨🇭 Y. VOISARD,198,Tudor Pro Cycling Team,Climbers,226,433,1,31.2,Good,9,,https://www.procyclingstats.com/rider/yannis-voisard
🇧🇪 J. BERCKMOES,153,Lotto Intermarché,Sprinters,376,490,0,30.7,Good,13,73.0,https://www.procyclingstats.com/rider/jenno-berckmoes
🇮🇹 M. TRENTIN,197,Tudor Pro Cycling Team,Sprinters,296,642,0,30.4,Good,12,,https://www.procyclingstats.com/rider/matteo-trentin
🇪🇸 J. AYUSO PESQUERA,31,Lidl-Trek,Leaders,460,885,2,30.0,Good,20,47.0,https://www.procyclingstats.com/rider/juan-ayuso-pesquera
🇩🇰 M. VALGREN,47,EF Education - Easypost,All-rounders,313,367,2,29.7,Good,12,,https://www.procyclingstats.com/rider/michael-valgren-andersen
🇩🇪 M. KANTER,64,XDS Astana Team,Sprinters,319,556,1,29.6,Good,13,97.0,https://www.procyclingstats.com/rider/max-kanter
🇫🇷 E. COSTIOU,184,Groupama-FDJ United,Climbers,226,423,2,29.2,Good,10,,https://www.procyclingstats.com/rider/ewen-costiou
